"Brand","Model","Year","Age","KmDriven","Transmission","Owner","FuelType","PostedDate","IDR_Price"
Maruti Suzuki,Swift,"2015",9,"52,000 km",Manual,first,Petrol,Nov-24,65895000
Maruti Suzuki,Swift-Dzire,"2020",4,"750,000 km",Manual,first,Diesel,Nov-24,99320000
Ford,Figo,"2011",13,"68,000 km",Manual,first,Petrol,Nov-24,28459000
Honda,Jazz,"2016",8,"90,500 km",Manual,second,Diesel,Nov-24,92635000
Jeep,Compass,"2018",6,"86,000 km",Manual,second,Diesel,Nov-24,162159008
Toyota,Etios,"2013",11,"85,000 km",Manual,first,Diesel,Nov-24,52525000
Maruti Suzuki,Swift,"2021",3,"38,000 km",Manual,first,Petrol,Oct-24,136564992
Renault,Triber,"2022",2,"35,000 km",Automatic,first,Petrol,Nov-24,140384992
Audi,Q3,"2018",6,"58,000 km",Automatic,second,Diesel,Nov-24,453624992
BMW,X3,"2019",5,"50,000 km",Automatic,second,Diesel,Nov-24,764000000
Maruti Suzuki,Vitara-Brezza,"2017",7,"72,000 km",Manual,first,Diesel,Nov-24,112690000
Mahindra,XUV500,"2014",10,"78,000 km",Manual,second,Diesel,Nov-24,136564992
Maruti Suzuki,Alto-K10,"2016",8,"41,000 km",Automatic,second,Petrol,Nov-24,48705000
Fiat,Punto,"2012",12,"69,500 km",Manual,first,Diesel,Nov-24,38199808
Hyundai,Fluidic Verna,"2020",4,"50,400 km",Manual,second,Petrol,Nov-24,184315008
Toyota,Fortuner,"2018",6,"100000.0 km",Manual,second,Diesel,Nov-24,515700000
Honda,City,"2014",10,"9876.0 km",Manual,first,Diesel,Nov-24,76400000
Maruti Suzuki,Swift Dzire,"2012",12,"58,000 km",Automatic,second,Petrol,Oct-24,76400000
Jaguar,XF,"2018",6,"28,650 km",Automatic,second,Petrol,Oct-24,544350016
Renault,Triber,"2020",4,"26700.0 km",Automatic,first,Petrol,Nov-24,119374808
Audi,A4,"2015",9,"41,000 km",Automatic,second,Diesel,Nov-24,197684992
Kia,Seltos,"2022",2,"20,890 km",Automatic,second,Petrol,Nov-24,275995008
Mercedes-Benz,GLA Class,"2019",5,"14700.0 km",Automatic,first,Diesel,Nov-24,663724992
Hyundai,i20,"2015",9,"54,000 km",Manual,first,Petrol,Nov-24,71625000
Maruti Suzuki,Ertiga,"2016",8,"199,600 km",Manual,second,Diesel,Nov-24,148024992
Mercedes-Benz,E-Class,"2015",9,"34,000 km",Automatic,first,Diesel,Nov-24,279815008
Mahindra,Thar,"2021",3,"26000.0 km",Automatic,second,Petrol,Nov-24,284590016
Mahindra,Thar,"2013",11,"16,872 km",Manual,second,Diesel,Sep-24,181450000
Hyundai,i10,"2017",7,"70,000 km",Automatic,second,Diesel,Nov-24,85950000
Mercedes-Benz,E-Class,"2024",0,"8,000 km",Automatic,first,Petrol,Nov-24,1179425024
Maruti Suzuki,Ignis,"2022",2,"33,506 km",Manual,first,Petrol,Nov-24,103904000
Hyundai,Eon,"2018",6,"48,000 km",Manual,second,Petrol,Nov-24,50615000
Maruti Suzuki,Ertiga,"2013",11,"83,000 km",Manual,second,Diesel,Nov-24,135610000
Tata,Safari,"2021",3,"54,000 km",Automatic,first,Diesel,Nov-24,285544992
Hyundai,Venue,"2020",4,"30,000 km",Automatic,first,Petrol,Nov-24,169990000
Skoda,Rapid,"2019",5,"72000.0 km",Automatic,second,Diesel,Nov-24,191000000
Audi,Q7,"2016",8,"63,000 km",Automatic,first,Diesel,Nov-24,735350016
Honda,City ZX,"2006",18,"92,000 km",Manual,second,Petrol,Nov-24,24830000
Kia,Carnival,"2021",3,"47,000 km",Automatic,first,Diesel,Nov-24,571089984
Maruti Suzuki,Vitara Brezza,"2019",5,"35000.0 km",Automatic,second,Diesel,Nov-24,128925000
Hyundai,i10,"2009",15,"58,496 km",Manual,second,Petrol,Nov-24,15280000
Renault,Triber,"2020",4,"26000.0 km",Automatic,first,Petrol,Nov-24,119375000
Hyundai,i10,"2014",10,"29,000 km",Manual,second,Petrol,Nov-24,49660000
Hyundai,i10,"2010",14,"74,000 km",Manual,second,Petrol,Nov-24,18909000
Audi,A6,"2014",10,"113,000 km",Automatic,first,Diesel,Nov-24,233975008
Audi,A6,"2014",10,"68,000 km",Automatic,second,Diesel,Aug-24,143249808
Hyundai,Eon,"2014",10,"63,000 km",Manual,first,Petrol,Nov-24,38391000
Toyota,Innova Crysta,"2018",6,"77,000 km",Automatic,first,Diesel,Oct-24,315150016
Maruti Suzuki,Swift-Dzire,"2018",6,"73,000 km",Manual,first,Petrol,Nov-24,122049000
BMW,"2 Series","2022",2,"2,000 km",Automatic,first,Petrol,Nov-24,719115008
Mahindra,Thar,"2021",3,"34,000 km",Automatic,first,Petrol,Nov-24,253075008
Toyota,Innova Crysta,"2017",7,"46000.0 km",Automatic,second,Diesel,Nov-24,439300000
Hyundai,i10,"2009",15,"69000.0 km",Automatic,second,Petrol,Nov-24,55008000
BMW,"3 Series","2013",11,"57,000 km",Automatic,first,Diesel,Nov-24,229200000
Maruti Suzuki,Eeco,"2014",10,"81388.0 km",Manual,first,Petrol,Nov-24,52525000
Hyundai,Eon,"2014",10,"41,500 km",Manual,first,Petrol,Nov-24,47559000
Honda,City,"2022",2,"27,000 km",Manual,first,Petrol,Nov-24,209718000
Mercedes-Benz,GLE Class,"2016",8,"850,000 km",Automatic,first,Diesel,Nov-24,496600000
Mercedes-Benz,C-Class,"2019",5,"70,000 km",Automatic,first,Diesel,Nov-24,658950016
Honda,Jazz,"2015",9,"53,000 km",Automatic,second,Petrol,Nov-24,85949808
Hyundai,Verna,"2012",12,"53,750 km",Automatic,second,Petrol,Nov-24,62075000
Toyota,Innova Crysta,"2017",7,"171,000 km",Manual,first,Diesel,Nov-24,281724992
Hyundai,Grand i10 Nios,"2020",4,"100,000 km",Manual,first,Petrol,Nov-24,104859000
Maruti Suzuki,Wagon-R,"2017",7,"79,000 km",Automatic,first,Petrol,Nov-24,84040000
Maruti Suzuki,S-Cross,"2018",6,"106,000 km",Manual,second,Diesel,Sep-24,157575008
Hyundai,i10,"2012",12,"67,000 km",Automatic,second,Petrol,Nov-24,56918000
Toyota,Glanza,"2019",5,"64,000 km",Manual,first,Petrol,Nov-24,131599000
Maruti Suzuki,Vitara Brezza,"2016",8,"8788.0 km",Automatic,first,Diesel,Nov-24,95500000
Hyundai,Creta,"2016",8,"108000.0 km",Manual,first,Diesel,Jun-24,176675008
Maruti Suzuki,"800","2012",12,"110,000 km",Manual,second,Petrol,Nov-24,22920000
Mahindra,Thar,"2022",2,"27,000 km",Automatic,second,Petrol,Nov-24,246390000
Renault,KWID,"2016",8,"23 km",Manual,second,Petrol,Nov-24,40110000
Mercedes-Benz,GLA Class,"2017",7,"32,600 km",Automatic,second,Petrol,Nov-24,334249984
Honda,City,"2016",8,"33,950 km",Automatic,first,Petrol,Oct-24,124150000
Tata,Nexon,"2019",5,"67,231 km",Manual,first,Diesel,Nov-24,102968288
Honda,WR-V,"2018",6,"55,000 km",Manual,first,Petrol,Nov-24,124150000
Tata,Altroz,"2020",4,"74,000 km",Manual,first,Petrol,Nov-24,110780000
Maruti Suzuki,Wagon R,"2011",13,"110858.0 km",Manual,first,Petrol,Jul-24,40110000
Mahindra,Scorpio N,"2022",2,"29,000 km",Automatic,first,Diesel,Nov-24,410649824
Nissan,PATROL,"2019",5,"35,000 km",Manual,first,Petrol,Nov-24,42020000
Mercedes-Benz,B Class,"2014",10,"41,000 km",Automatic,second,Petrol,Nov-24,198640000
MG,ASTOR,"2022",2,"47,200 km",Automatic,first,Petrol,Nov-24,227290000
Audi,Q7,"2014",10,"45,000 km",Automatic,second,Diesel,Nov-24,229200000
Maruti Suzuki,Vitara-Brezza,"2019",5,"75,000 km",Automatic,first,Diesel,Nov-24,138475008
Maruti Suzuki,Celerio,"2018",6,"82,000 km",Automatic,first,Petrol,Oct-24,81175000
Mahindra,TUV 300,"2015",9,"53000.0 km",Manual,second,Diesel,Nov-24,81175000
Toyota,Corolla Altis,"2015",9,"74,000 km",Automatic,second,Petrol,Nov-24,123959000
Maruti Suzuki,Swift,"2012",12,"158,000 km",Manual,second,Diesel,Nov-24,60165000
Skoda,Rapid,"2013",11,"150000.0 km",Manual,second,Diesel,Nov-24,81175000
Toyota,Fortuner,"2017",7,"190000.0 km",Manual,second,Diesel,Jul-24,458400000
Maruti Suzuki,Ciaz,"2020",4,"19,000 km",Automatic,second,Petrol,Nov-24,176675008
Maruti Suzuki,maruti-suzuki-brezza,"2021",3,"18,000 km",Manual,first,Petrol,Nov-24,141340000
Ford,Ecosport,"2015",9,"72,000 km",Automatic,second,Diesel,Nov-24,85950000
Maruti Suzuki,Ritz,"2011",13,"65,500 km",Manual,second,Petrol,Nov-24,36290000
Hyundai,Eon,"2017",7,"68,000 km",Manual,second,Petrol,Nov-24,50615000
Toyota,Glanza,"2022",2,"9,000 km",Manual,first,Petrol,Nov-24,148024992
Chevrolet,Sail,"2013",11,"27,000 km",Manual,first,Petrol,Nov-24,33425000
BMW,X4,"2021",3,"20,000 km",Automatic,first,Petrol,Nov-24,1146000000
Maruti Suzuki,Swift-Dzire-Tour,"2018",6,"120,000 km",Manual,second,Diesel,Nov-24,95309000
Hyundai,Grand i10,"2015",9,"68,500 km",Manual,first,Diesel,Nov-24,65895000
MG,Hector Plus,"2024",0,"15,000 km",Automatic,first,Petrol,Oct-24,415424992
Audi,A3,"2015",9,"42,000 km",Automatic,second,Diesel,Nov-24,200550000
Ford,Figo Aspire,"2016",8,"37,000 km",Automatic,first,Petrol,Nov-24,83085000
Hyundai,i10,"2011",13,"51,000 km",Automatic,second,Petrol,Nov-24,26740000
BMW,"3 Series","2012",12,"53,000 km",Automatic,second,Diesel,Nov-24,140384992
Mercedes-Benz,M-Class,"2013",11,"68,000 km",Automatic,second,Diesel,Nov-24,372449984
Kia,Seltos,"2022",2,"25,000 km",Automatic,first,Petrol,Nov-24,291275008
Toyota,Innova Crysta,"2017",7,"97,000 km",Manual,second,Diesel,Nov-24,210100000
Mahindra,XUV500,"2017",7,"59,000 km",Manual,first,Diesel,Nov-24,286500000
Skoda,Octavia,"2013",11,"75,000 km",Automatic,second,Petrol,Nov-24,107915000
Hyundai,Grand i10,"2015",9,"57,000 km",Manual,second,Petrol,Nov-24,72580000
Hyundai,Creta,"2019",5,"64,000 km",Automatic,first,Petrol,Sep-24,198640000
Maruti Suzuki,A-Star,"2009",15,"82,000 km",Manual,second,Petrol,Nov-24,24830000
Renault,KWID,"2017",7,"65,000 km",Automatic,second,Petrol,Nov-24,61120000
Land Rover,Discovery,"2017",7,"72,000 km",Automatic,first,Diesel,Nov-24,410459008
Toyota,Fortuner,"2018",6,"11,000 km",Manual,first,Diesel,Oct-24,591145024
Chevrolet,Cruze,"2013",11,"90,000 km",Automatic,first,Diesel,Nov-24,84040000
Skoda,Superb,"2011",13,"90,000 km",Automatic,second,Petrol,Nov-24,76400000
Mahindra,Marazzo,"2020",4,"168,000 km",Manual,second,Diesel,Nov-24,133700000
BMW,"5 Series","2016",8,"47,000 km",Automatic,second,Diesel,Nov-24,477500000
Maruti Suzuki,Swift,"2019",5,"58,900 km",Automatic,first,Petrol,Nov-24,94545000
Maruti Suzuki,Swift,"2022",2,"52,000 km",Automatic,first,Petrol,Nov-24,123195000
Mercedes-Benz,C-Class,"2014",10,"86,000 km",Automatic,second,Diesel,Nov-24,170944992
Honda,City,"2021",3,"43,000 km",Automatic,first,Petrol,Nov-24,198640000
Skoda,Rapid,"2021",3,"34,000 km",Automatic,first,Petrol,Nov-24,160440000
Mahindra,Scorpio,"2020",4,"15 km",Automatic,first,Diesel,Nov-24,257850000
Hyundai,i20,"2015",9,"87,000 km",Manual,first,Diesel,Nov-24,85950000
Maruti Suzuki,Baleno,"2015",9,"81,000 km",Manual,second,Diesel,Nov-24,108870000
Honda,WRV,"2017",7,"47,000 km",Automatic,second,Petrol,Nov-24,109825384
MG,Hector Plus,"2023",1,"15,744 km",Automatic,first,Petrol,Nov-24,305599808
Honda,City,"2014",10,"78,000 km",Manual,first,Diesel,Nov-24,113645000
Maruti Suzuki,Wagon-R,"2019",5,"25,000 km",Automatic,second,Petrol,Nov-24,100275000
Hyundai,Verna,"2018",6,"74,000 km",Automatic,first,Petrol,Nov-24,168080000
Hyundai,Santro,"2007",17,"75,000 km",Manual,second,Petrol,Nov-24,31515000
Toyota,Yaris,"2018",6,"61,000 km",Automatic,second,Petrol,Nov-24,110780000
Honda,Amaze,"2014",10,"62000.0 km",Automatic,first,Petrol,Jul-24,66850000
Renault,Duster,"2017",7,"130,000 km",Manual,first,Diesel,Nov-24,112690000
Toyota,Fortuner,"2018",6,"130,000 km",Automatic,second,Diesel,Nov-24,544158976
Mercedes-Benz,GLC,"2017",7,"151000.0 km",Automatic,second,Diesel,Nov-24,544350016
Mahindra,XUV500,"2018",6,"95,000 km",Manual,second,Diesel,Sep-24,244480000
Audi,Q5,"2011",13,"103,000 km",Automatic,second,Diesel,Sep-24,162540992
Hyundai,i20,"2012",12,"149,175 km",Manual,second,Diesel,Nov-24,60165000
Toyota,Corolla Altis,"2011",13,"52,000 km",Manual,second,Petrol,Nov-24,65513000
Hyundai,Creta,"2020",4,"70,000 km",Manual,first,Diesel,Nov-24,286308992
Mercedes-Benz,E-Class,"2009",15,"21,000 km",Automatic,second,Diesel,Nov-24,90725000
Renault,Lodgy,"2016",8,"119,000 km",Manual,first,Diesel,Nov-24,106960000
Mercedes-Benz,M-Class,"2014",10,"135000.0 km",Automatic,first,Diesel,Nov-24,314195008
Tata,Nexon,"2018",6,"52,000 km",Automatic,first,Petrol,Nov-24,123195000
Toyota,Fortuner,"2020",4,"54,000 km",Automatic,first,Diesel,Nov-24,649400000
Maruti Suzuki,Swift,"2015",9,"74,566 km",Manual,second,Diesel,Nov-24,65895000
Mahindra,Thar,"2022",2,"32,500 km",Automatic,first,Diesel,Nov-24,339024992
Maruti Suzuki,Swift,"2022",2,"60,000 km",Manual,second,Petrol,Nov-24,105050000
Tata,Harrier,"2020",4,"29000.0 km",Manual,first,Diesel,Nov-24,205324992
Skoda,Kushaq,"2023",1,"17,694 km",Automatic,first,Petrol,Nov-24,353350016
Maruti Suzuki,XL6,"2021",3,"25,524 km",Automatic,first,Petrol,Nov-24,219459008
Honda,City,"2016",8,"91,000 km",Manual,first,Diesel,Oct-24,105050000
Maruti Suzuki,maruti-suzuki-dzire,"2013",11,"70,000 km",Manual,second,Petrol,Nov-24,56345000
Renault,Duster,"2014",10,"85,000 km",Manual,first,Diesel,Nov-24,54435000
Maruti Suzuki,Zen-Estilo,"2004",20,"170,000 km",Manual,second,Diesel,Nov-24,21010000
Mercedes-Benz,GLE Class,"2024",0,"4,000 km",Automatic,first,Diesel,Nov-24,1948199936
MG,Hector,"2023",1,"42,000 km",Manual,first,Diesel,Nov-24,386775008
Maruti Suzuki,"800","2008",16,"56,000 km",Manual,second,Petrol,Nov-24,28650000
Maruti Suzuki,Grand Vitara,"2024",0,"1,600 km",Manual,first,Petrol,Nov-24,257850000
Maruti Suzuki,Alto-800,"2022",2,"25,000 km",Manual,second,Petrol,Nov-24,65895000
Maruti Suzuki,Wagon-R,"2007",17,"118,000 km",Manual,second,Petrol,Nov-24,28650000
Mahindra,Scorpio,"2016",8,"82,000 km",Manual,first,Diesel,Nov-24,148024992
Skoda,Superb,"2016",8,"60,000 km",Automatic,second,Petrol,Nov-24,315150016
Honda,CRV,"2013",11,"57,000 km",Automatic,second,Petrol,Nov-24,136564992
Honda,Amaze,"2013",11,"45,000 km",Manual,first,Petrol,Nov-24,75445000
Honda,Amaze,"2022",2,"16,000 km",Manual,first,Petrol,Nov-24,127015000
Toyota,Fortuner,"2021",3,"36,000 km",Automatic,first,Diesel,Nov-24,716249984
Maruti Suzuki,Celerio,"2018",6,"55,000 km",Automatic,first,Petrol,Nov-24,74872000
Toyota,Innova Crysta,"2016",8,"174,000 km",Automatic,second,Diesel,Oct-24,296049984
Ford,Figo Aspire,"2019",5,"60,000 km",Manual,first,Diesel,Nov-24,89579000
Tata,Sumo Grande MK II,"2013",11,"42,000 km",Manual,second,Diesel,Nov-24,52525000
Hyundai,Grand i10,"2018",6,"28,000 km",Automatic,second,Petrol,Nov-24,100275000
Maruti Suzuki,Alto-800,"2021",3,"13,000 km",Manual,second,Petrol,Nov-24,84040000
Renault,KWID,"2016",8,"77000.0 km",Manual,first,Petrol,Nov-24,48705000
Hyundai,Creta,"2021",3,"45,000 km",Automatic,first,Diesel,Nov-24,324508992
Maruti Suzuki,Alto-K10,"2019",5,"80,000 km",Automatic,second,Petrol,Nov-24,53480000
Audi,A6,"2015",9,"89,000 km",Automatic,first,Diesel,Nov-24,169990000
Jeep,Compass,"2018",6,"53,213 km",Manual,second,Diesel,Nov-24,164260000
Hyundai,i20,"2011",13,"53,000 km",Manual,second,Petrol,Nov-24,43930000
Maruti Suzuki,Wagon R,"2018",6,"64000.0 km",Automatic,first,Petrol,Nov-24,86141000
Honda,City,"2016",8,"80,000 km",Manual,first,Diesel,Oct-24,110780000
Mercedes-Benz,V-Class,"2019",5,"20,000 km",Automatic,first,Diesel,Nov-24,1203299968
Maruti Suzuki,Celerio,"2017",7,"61,000 km",Automatic,second,Petrol,Oct-24,86905000
Volvo,S80,"2015",9,"75000.0 km",Automatic,first,Diesel,Nov-24,257850000
Maruti Suzuki,Swift-Dzire,"2018",6,"33,251 km",Automatic,second,Petrol,Nov-24,105050000
Maruti Suzuki,Alto-800,"2014",10,"86,000 km",Manual,first,Petrol,Nov-24,57300000
Honda,Brio,"2013",11,"54,000 km",Manual,first,Petrol,Oct-24,63985000
Audi,A3,"2015",9,"42,000 km",Automatic,second,Diesel,Nov-24,200550000
Maruti Suzuki,Swift,"2016",8,"158,000 km",Manual,second,Diesel,Nov-24,85950000
Maruti Suzuki,Ertiga,"2013",11,"70,000 km",Manual,second,Diesel,Nov-24,110780000
Honda,Amaze,"2021",3,"78000.0 km",Automatic,second,Diesel,Nov-24,205324992
Mahindra,Verito,"2013",11,"112,000 km",Manual,second,Diesel,Nov-24,68760000
Hyundai,Creta,"2019",5,"29,569 km",Automatic,first,Petrol,Nov-24,210100000
Honda,Brio,"2012",12,"92,500 km",Automatic,first,Petrol,Nov-24,38200000
Toyota,Fortuner,"2012",12,"220,000 km",Automatic,second,Diesel,Nov-24,237795008
Hyundai,i10,"2008",16,"90,000 km",Manual,first,Petrol,Nov-24,38199808
Mahindra,Thar,"2024",0,"8,000 km",Manual,first,Diesel,Nov-24,296049984
Nissan,Terrano,"2017",7,"80,000 km",Automatic,second,Diesel,Nov-24,142295008
Mercedes-Benz,GL-Class,"2018",6,"72,000 km",Automatic,second,Diesel,Nov-24,916800000
Maruti Suzuki,Grand Vitara,"2023",1,"8400.0 km",Manual,first,Petrol,Nov-24,276950016
Maruti Suzuki,Ignis,"2019",5,"520,000 km",Manual,first,Petrol,Nov-24,85950000
Honda,City ZX,"2008",16,"145,000 km",Manual,second,Petrol,Oct-24,30560000
Volkswagen,Polo,"2020",4,"87,244 km",Manual,first,Petrol,Nov-24,138475008
Renault,KWID,"2016",8,"88,000 km",Automatic,second,Petrol,Nov-24,34380000
Volvo,XC 90,"2009",15,"94,000 km",Automatic,second,Diesel,Nov-24,238750000
Maruti Suzuki,Celerio X,"2018",6,"38000.0 km",Automatic,second,Petrol,Nov-24,76400000
Maruti Suzuki,Vitara-Brezza,"2017",7,"69,500 km",Manual,second,Diesel,Nov-24,98364808
Mahindra,XUV500,"2016",8,"24,000 km",Manual,second,Diesel,Nov-24,119375000
Honda,City,"2022",2,"10,000 km",Automatic,first,Petrol,Oct-24,248108992
Tata,Nexon,"2020",4,"55000.0 km",Automatic,first,Petrol,Nov-24,132745000
Toyota,Innova,"2012",12,"151,000 km",Manual,first,Diesel,Nov-24,170944992
Toyota,Fortuner,"2015",9,"73,500 km",Manual,second,Diesel,Nov-24,265490000
Kia,Sonet,"2020",4,"20,200 km",Automatic,first,Petrol,Nov-24,191000000
Toyota,Innova Crysta,"2018",6,"162,000 km",Automatic,second,Diesel,Nov-24,358124992
Volkswagen,Polo,"2021",3,"73,000 km",Automatic,first,Petrol,Nov-24,170180992
Hyundai,EON,"2017",7,"56000.0 km",Manual,first,Petrol,Nov-24,53098000
Maruti Suzuki,Eeco,"2023",1,"35,000 km",Manual,second,Petrol,Nov-24,114600000
Ford,Figo Aspire,"2016",8,"113,546 km",Automatic,second,Petrol,Nov-24,74489808
Kia,Seltos,"2021",3,"9,020 km",Manual,first,Petrol,Nov-24,248300000
Maruti Suzuki,Celerio,"2015",9,"20460.0 km",Automatic,second,Petrol,Apr-24,90725000
Volkswagen,Polo,"2011",13,"130,000 km",Manual,second,Diesel,Nov-24,47750000
BMW,"7 Series","2009",15,"40,000 km",Automatic,first,Petrol,Nov-24,191000000
Mahindra,XUV500,"2015",9,"67,000 km",Manual,first,Diesel,Nov-24,124150000
Hyundai,Verna,"2018",6,"51,000 km",Manual,second,Petrol,Nov-24,132745000
Mercedes-Benz,GLE,"2022",2,"24,000 km",Automatic,first,Petrol,Nov-24,1814499968
BMW,"3 Series GT","2019",5,"44,000 km",Automatic,first,Diesel,Oct-24,573000000
Honda,City,"2014",10,"99,920 km",Automatic,second,Petrol,Nov-24,87860000
Mercedes-Benz,CLA,"2015",9,"69,000 km",Automatic,second,Petrol,Nov-24,286308992
Maruti Suzuki,Vitara-Brezza,"2020",4,"62,302 km",Manual,first,Petrol,Nov-24,139239008
Mahindra,Bolero Power Plus,"2011",13,"165,786 km",Manual,second,Diesel,Nov-24,52525000
Honda,Jazz,"2015",9,"62,000 km",Automatic,second,Petrol,Nov-24,93590000
Audi,A4,"2012",12,"77,000 km",Automatic,first,Petrol,Nov-24,133127000
Jeep,Compass,"2018",6,"68,000 km",Automatic,first,Petrol,Nov-24,200549808
Kia,Sonet,"2021",3,"84,000 km",Automatic,first,Petrol,Nov-24,167124992
Mercedes-Benz,CLA,"2019",5,"48000.0 km",Automatic,second,Diesel,Nov-24,658950016
Volkswagen,Polo GTI,"2015",9,"56000.0 km",Automatic,first,Petrol,Nov-24,99320000
Mahindra,Thar,"2018",6,"106,000 km",Manual,first,Diesel,Nov-24,150890000
Tata,Tigor,"2019",5,"67,321 km",Manual,first,Petrol,Nov-24,74318288
BMW,"7 Series","2013",11,"61,000 km",Automatic,second,Diesel,Nov-24,162540992
Maruti Suzuki,Swift-Dzire,"2010",14,"92,000 km",Manual,first,Diesel,Oct-24,61120000
Toyota,Fortuner,"2015",9,"68,000 km",Automatic,first,Diesel,Nov-24,434524992
BMW,"5 Series","2011",13,"100,000 km",Automatic,first,Diesel,Nov-24,257850000
Hyundai,Verna,"2021",3,"55,000 km",Manual,first,Petrol,Nov-24,199595008
Kia,Seltos,"2021",3,"47,000 km",Automatic,first,Petrol,Nov-24,281724992
Renault,Kiger,"2022",2,"10,000 km",Automatic,first,Petrol,Sep-24,132745000
Maruti Suzuki,Swift-Dzire,"2012",12,"69,000 km",Manual,second,Petrol,Nov-24,69715000
Maruti Suzuki,Swift,"2016",8,"102,000 km",Manual,second,Petrol,Nov-24,73535000
BMW,X7,"2020",4,"25700.0 km",Automatic,second,Petrol,Nov-24,2081900032
Maruti Suzuki,Ertiga,"2018",6,"65,000 km",Automatic,second,Petrol,Nov-24,128925000
Ford,Fiesta,"2009",15,"68,000 km",Manual,second,Diesel,Nov-24,42975000
Skoda,Slavia,"2022",2,"4,950 km",Automatic,first,Petrol,Nov-24,318969984
Honda,City ZX,"2007",17,"56,000 km",Manual,second,Petrol,Nov-24,19099808
Mahindra,Scorpio Classic,"2020",4,"80,000 km",Manual,second,Diesel,Nov-24,253075008
Renault,Triber,"2020",4,"17,000 km",Manual,first,Petrol,Oct-24,104095000
Toyota,Camry,"2013",11,"95000.0 km",Automatic,first,Petrol,Nov-24,143250000
Mahindra,XUV700,"2022",2,"39,000 km",Automatic,first,Petrol,Nov-24,372449984
Hyundai,Creta,"2019",5,"68000.0 km",Automatic,second,Petrol,Nov-24,224424992
Kia,Sonet,"2020",4,"35,000 km",Manual,first,Petrol,Nov-24,181450000
Toyota,Etios,"2019",5,"178,000 km",Manual,second,Diesel,Nov-24,162350000
Maruti Suzuki,Swift-Dzire,"2021",3,"81,000 km",Manual,first,Petrol,Nov-24,117465000
Maruti Suzuki,Vitara Brezza,"2020",4,"48,000 km",Manual,first,Petrol,Sep-24,169035008
Toyota,Etios,"2017",7,"150,000 km",Manual,second,Diesel,Nov-24,133700000
Maruti Suzuki,Alto-800,"2022",2,"21,000 km",Manual,first,Petrol,Nov-24,75445000
Volkswagen,Polo,"2017",7,"19,000 km",Manual,first,Petrol,Nov-24,102185000
Honda,City,"2016",8,"74,000 km",Automatic,second,Petrol,Nov-24,112690000
Hyundai,Verna,"2008",16,"125,000 km",Manual,first,Diesel,Nov-24,31515000
Hyundai,Creta,"2017",7,"60,000 km",Automatic,first,Petrol,Sep-24,162350000
Maruti Suzuki,Swift-Dzire,"2015",9,"68,000 km",Manual,first,Diesel,Nov-24,105050000
Force,Motors FM Trax Cruiser,"2024",0,"18,000 km",Manual,first,Diesel,Nov-24,277140992
Maruti Suzuki,Baleno,"2021",3,"50,000 km",Manual,first,Petrol,Nov-24,144204992
Hyundai,Creta,"2017",7,"82,000 km",Automatic,first,Petrol,Oct-24,158530000
Maruti Suzuki,Alto 800,"2015",9,"65,000 km",Manual,second,Petrol,Nov-24,42975000
Kia,Seltos,"2021",3,"39000.0 km",Automatic,first,Petrol,Jul-24,267400000
Maruti Suzuki,Ertiga,"2018",6,"130,000 km",Manual,first,Diesel,Nov-24,162350000
Jeep,Meridian,"2023",1,"19,780 km",Automatic,first,Diesel,Nov-24,592099968
Honda,Civic,"2019",5,"35,000 km",Automatic,second,Petrol,Nov-24,229008992
Tata,Nexon,"2019",5,"89,000 km",Automatic,first,Diesel,Nov-24,89770000
Mercedes-Benz,E-Class,"2013",11,"78,000 km",Automatic,first,Petrol,Nov-24,199595008
Maruti Suzuki,Estilo,"2007",17,"74,900 km",Manual,first,Petrol,Nov-24,18145000
Mahindra,XUV300,"2019",5,"21000.0 km",Manual,second,Diesel,Nov-24,170944992
Mini,Cooper S,"2017",7,"42000.0 km",Automatic,second,Petrol,Nov-24,639849984
Hyundai,Xcent,"2020",4,"15,000 km",Manual,first,Petrol,Nov-24,96455000
Mahindra,Scorpio,"2017",7,"86,000 km",Manual,second,Diesel,Nov-24,133700000
Tata,Indigo Cs,"2009",15,"0 km",Manual,second,Diesel,Nov-24,30560000
Maruti Suzuki,Swift-Dzire,"2015",9,"86,000 km",Manual,first,Diesel,Nov-24,63985000
Audi,A3,"2015",9,"42,000 km",Automatic,second,Diesel,Nov-24,200550000
Land Rover,Range Rover Evoque,"2020",4,"11,264 km",Automatic,first,Diesel,Oct-24,1106845056
Honda,City,"2013",11,"130,000 km",Manual,second,Petrol,Nov-24,75349504
Honda,Amaze,"2021",3,"78,000 km",Automatic,second,Diesel,Nov-24,205324992
Renault,KWID,"2016",8,"50,588 km",Manual,second,Petrol,Oct-24,62075000
Honda,City,"2016",8,"79000.0 km",Automatic,second,Petrol,Nov-24,128925000
Maruti Suzuki,Swift,"2015",9,"94,200 km",Manual,second,Diesel,Nov-24,94545000
Mercedes-Benz,C-Class,"2018",6,"51,000 km",Automatic,second,Diesel,Nov-24,544350016
Toyota,Innova Crysta,"2016",8,"160000.0 km",Automatic,first,Diesel,Nov-24,262624992
Maruti Suzuki,XL6,"2019",5,"40,000 km",Automatic,first,Petrol,Nov-24,214875008
Mercedes-Benz,GLC,"2020",4,"38,000 km",Automatic,second,Diesel,Nov-24,897699968
Tata,Nexon,"2023",1,"7,800 km",Automatic,first,Petrol,Nov-24,170944992
